,Title,Handle,Vendor,created,product_type,published_at,created_at,updated_at,price,sku,Tags,available,Image Src,Image Position,Body (HTML)
20,Book stand,book-stand-from-japan,n/a,2024-09-12T16:44:40+01:00,Accessories,2024-09-13T14:37:56+01:00,2024-09-12T16:44:40+01:00,2024-12-14T08:22:47+00:00,26.00,JMJ-062,"accessories, bedroom, blue, book, book end, book ends, book stand, book stands, bookend, bookends, books, bookstand, bookstands, home, house, kitchen, living, metal, silver, stationery, steel",True,https://cdn.shopify.com/s/files/1/0276/3427/files/jmj-062.jpg?v=1726234473,1,"<p>A steel book stand with a page-saver, from Japan.</p>"
21,Sketches of Seating,sketches-of-seating,Jasper Morrison Shop,2024-06-21T16:26:55+01:00,Books,2024-07-09T11:45:08+01:00,2024-06-21T16:26:55+01:00,2024-12-14T08:22:47+00:00,30.00,SketchesofSeating,"book, books, design, designers, green",True,https://cdn.shopify.com/s/files/1/0276/3427/files/SketchesofSeating.jpg?v=1720521884,1,"<p>Thirty-two designers contribute a chair and a sketch. Contributors include Jasper and John Tree. </p>
<p>By Daniel Schofield and Rhys Kearns. Published by Days Press.</p>"
22,Buffer Bookend,buffer-bookend,n/a,2024-05-29T16:08:26+01:00,Accessories,2024-06-07T11:55:31+01:00,2024-05-29T16:08:26+01:00,2024-12-14T08:22:47+00:00,71.00,BU-0124 00,"book, book end, book ends, bookends, colour, colours, home, house, living, metal, red, shelf, shelving, stationery, stopper, stoppers, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/BU-012500family.jpg?v=1717757687,1,"<p>A bookend made of metal, measuring 9.8 cm width x 12 cm depth x 17.2 cm height.</p>
<p>Designed by Chris Martin for Massproductions.</p>"
23,Buffer Bookend,buffer-bookend,n/a,2024-05-29T16:08:26+01:00,Accessories,2024-06-07T11:55:31+01:00,2024-05-29T16:08:26+01:00,2024-12-14T08:22:47+00:00,71.00,BU-0125 00,"book, book end, book ends, bookends, colour, colours, home, house, living, metal, red, shelf, shelving, stationery, stopper, stoppers, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/BU-012500family.jpg?v=1717757687,1,"<p>A bookend made of metal, measuring 9.8 cm width x 12 cm depth x 17.2 cm height.</p>
<p>Designed by Chris Martin for Massproductions.</p>"
24,Buffer Bookend,buffer-bookend,n/a,2024-05-29T16:08:26+01:00,Accessories,2024-06-07T11:55:31+01:00,2024-05-29T16:08:26+01:00,2024-12-14T08:22:47+00:00,71.00,BU-0132 00,"book, book end, book ends, bookends, colour, colours, home, house, living, metal, red, shelf, shelving, stationery, stopper, stoppers, white",False,https://cdn.shopify.com/s/files/1/0276/3427/files/BU-012500family.jpg?v=1717757687,1,"<p>A bookend made of metal, measuring 9.8 cm width x 12 cm depth x 17.2 cm height.</p>
<p>Designed by Chris Martin for Massproductions.</p>"
25,Pepper Grinder,pepper-grinder,n/a,2024-05-01T15:38:33+01:00,Tableware,2024-06-03T13:33:47+01:00,2024-05-01T15:38:33+01:00,2024-12-14T08:22:47+00:00,39.00,Atlas,"brown, condiments, home, house, kitchen, living, made of wood, mill, natural, sauces, wood, wooden",True,https://cdn.shopify.com/s/files/1/0276/3427/files/Atlas.jpg?v=1717418009,1,"<p>A pepper grinder made of beech. It measures 175 mm high, diameter 67 mm.</p>
<p>Designed by Michael Marriott.</p>"
26,Folding Stool,folding-stool,Jasper Morrison Shop,2024-04-05T16:26:08+01:00,Furniture,2024-04-11T16:41:43+01:00,2024-04-05T16:26:08+01:00,2024-12-14T08:22:47+00:00,60.00,SLW301,"camping, folding, furniture, japan, Japanese, outdoor, outdoors, outside, seat, stools, Tri",False,https://cdn.shopify.com/s/files/1/0276/3427/files/SLW303family.jpg?v=1712850076,1,"<p>A folding stool made of plastic, from Japan. Unfolded, it measures 390 mm in length, 320 mm in width and 400 mm in height. Folded, it measures 390 mm in length, 53 mm in width and 500 mm in height. It weighs 1.85 kg.</p>"
27,Folding Stool,folding-stool,Jasper Morrison Shop,2024-04-05T16:26:08+01:00,Furniture,2024-04-11T16:41:43+01:00,2024-04-05T16:26:08+01:00,2024-12-14T08:22:47+00:00,60.00,SLW303,"camping, folding, furniture, japan, Japanese, outdoor, outdoors, outside, seat, stools, Tri",True,https://cdn.shopify.com/s/files/1/0276/3427/files/SLW303family.jpg?v=1712850076,1,"<p>A folding stool made of plastic, from Japan. Unfolded, it measures 390 mm in length, 320 mm in width and 400 mm in height. Folded, it measures 390 mm in length, 53 mm in width and 500 mm in height. It weighs 1.85 kg.</p>"
28,Home Stories,home-stories,Jasper Morrison Shop,2024-03-15T15:20:50+00:00,Books,2024-04-02T15:47:25+01:00,2024-03-15T15:20:50+00:00,2024-12-14T08:22:47+00:00,70.00,9783945852385,"book, exhibition, exhibitions, interior design, interiors, museum, museums, vitra, yellow",True,https://cdn.shopify.com/s/files/1/0276/3427/files/9783945852385.jpg?v=1712069224,1,"<p>100 Years, 20 Visionary Interiors. Edited by Mateo Kries and Jochen Eisenbrand. With contributions by Jasper and many others. Published by the Vitra Design Museum.</p>"
29,An Art of Resilience,an-art-of-resilience,Jasper Morrison Shop,2024-01-17T12:03:48+00:00,Books,2024-01-19T15:05:29+00:00,2024-01-17T12:03:48+00:00,2024-12-14T08:22:47+00:00,40.00,9783945852613,"art, book, Brazil, Brazilian, brown, Figures, Latin America, South America, vitra",True,https://cdn.shopify.com/s/files/1/0276/3427/files/9783945852613.jpg?v=1705676712,1,<p>Popular Art from Brazil in the R.F. Collection. Edited by Rolf Fehlbaum and Fifo Stricker. With an essay by Ricardo Lima and Guacira Waldeck. Published by the Vitra Design Museum.</p>
